time,source,band_0,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31
45.0,ref,-80.00,-80.00,-80.00,-80.00,-58.45,-60.19,-74.82,-66.23,-74.95,-63.38,-62.50,-63.17,-61.92,-61.14,-46.66,-60.21,-60.81,-58.45,-68.01,-69.29,-75.57,-76.86,-77.40,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.0,room,-79.81,-80.00,-80.00,-72.45,-52.05,-51.48,-52.96,-53.09,-57.06,-64.03,-63.12,-55.03,-60.88,-60.72,-51.46,-61.13,-58.56,-55.64,-65.76,-69.19,-73.97,-78.19,-76.94,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.1,ref,-80.00,-80.00,-80.00,-72.38,-60.22,-66.18,-66.94,-58.59,-70.89,-71.21,-70.25,-60.64,-65.93,-60.71,-48.10,-64.12,-55.54,-55.32,-71.52,-70.64,-72.14,-74.89,-78.91,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.1,room,-80.00,-80.00,-78.27,-71.81,-55.93,-54.87,-58.52,-51.66,-62.35,-60.82,-59.92,-57.77,-59.88,-64.05,-52.06,-58.27,-58.68,-52.71,-65.33,-69.49,-75.63,-78.42,-77.10,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.2,ref,-80.00,-80.00,-76.47,-62.21,-69.46,-73.31,-66.81,-64.56,-67.81,-73.63,-65.69,-64.91,-66.08,-61.39,-56.58,-63.92,-63.14,-55.72,-70.59,-71.47,-75.72,-78.03,-78.02,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.2,room,-80.00,-80.00,-75.87,-62.05,-63.47,-61.01,-54.46,-53.04,-59.26,-67.56,-65.70,-60.73,-66.94,-63.32,-49.69,-65.32,-63.61,-56.38,-67.91,-73.08,-76.43,-78.31,-76.35,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.3,ref,-80.00,-80.00,-70.81,-67.04,-76.87,-74.13,-66.52,-71.22,-66.34,-65.62,-57.28,-55.65,-61.08,-61.01,-53.61,-61.65,-52.90,-53.03,-59.77,-59.34,-65.97,-72.05,-76.38,-77.47,-76.74,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.3,room,-80.00,-80.00,-73.35,-61.74,-67.64,-66.61,-59.69,-56.89,-59.03,-56.22,-57.61,-47.66,-58.39,-60.84,-51.14,-57.87,-57.01,-52.62,-58.45,-60.71,-67.09,-73.79,-74.64,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.4,ref,-80.00,-80.00,-80.00,-80.00,-67.16,-56.94,-56.80,-61.07,-61.58,-58.72,-57.46,-56.69,-59.75,-57.19,-47.37,-60.42,-54.74,-56.10,-60.97,-64.23,-68.74,-73.24,-77.09,-79.17,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.4,room,-80.00,-80.00,-73.98,-72.99,-62.18,-52.37,-53.13,-52.61,-61.14,-61.66,-56.62,-57.78,-62.26,-61.75,-54.52,-62.58,-60.35,-57.27,-65.94,-68.62,-72.63,-76.20,-72.01,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.5,ref,-80.00,-80.00,-80.00,-80.00,-57.92,-67.29,-69.38,-64.98,-79.19,-66.45,-64.23,-64.20,-68.67,-62.17,-52.26,-66.49,-58.89,-62.81,-62.96,-68.58,-70.96,-73.64,-78.03,-78.49,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.5,room,-79.13,-80.00,-80.00,-70.97,-51.65,-52.53,-56.19,-54.97,-58.48,-62.28,-62.42,-59.69,-65.86,-63.13,-54.84,-65.86,-60.95,-60.12,-63.55,-69.67,-73.35,-76.45,-74.82,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.6,ref,-80.00,-80.00,-80.00,-77.37,-66.07,-68.61,-57.87,-55.13,-67.71,-73.27,-65.28,-59.96,-68.62,-54.35,-57.79,-64.24,-53.66,-59.67,-63.75,-70.89,-71.91,-74.99,-77.56,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.6,room,-80.00,-80.00,-80.00,-70.02,-60.48,-57.08,-54.04,-47.44,-60.35,-63.46,-60.41,-62.42,-63.80,-57.86,-55.89,-62.79,-54.57,-60.11,-64.47,-68.92,-74.70,-76.89,-77.99,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
