time,ref,room,processed
47.000000,0.021179,-0.006683,-0.087192
47.000023,0.015320,0.006042,-0.085728
47.000045,0.009583,0.017090,-0.083177
47.000068,0.004395,0.026428,-0.079260
47.000091,0.001495,0.035522,-0.074316
47.000113,-0.002716,0.046326,-0.069698
47.000136,-0.010193,0.059418,-0.066680
47.000159,-0.017792,0.072235,-0.064605
47.000181,-0.023865,0.081177,-0.062097
47.000204,-0.030792,0.084808,-0.057763
47.000227,-0.037598,0.085175,-0.051904
47.000249,-0.042175,0.083344,-0.045026
47.000272,-0.046021,0.079803,-0.036624
47.000295,-0.049866,0.073700,-0.028130
47.000317,-0.054688,0.066742,-0.020815
47.000340,-0.062439,0.058167,-0.013895
47.000363,-0.071960,0.046783,-0.007159
47.000385,-0.080048,0.033661,-0.001444
47.000408,-0.084778,0.019867,0.004007
47.000431,-0.085388,0.005859,0.009640
47.000454,-0.083862,-0.007660,0.014475
47.000476,-0.082092,-0.019623,0.018394
47.000499,-0.079865,-0.029449,0.022399
47.000522,-0.075928,-0.036377,0.025612
47.000544,-0.073639,-0.041626,0.028671
47.000567,-0.071747,-0.045563,0.030827
47.000590,-0.067963,-0.045563,0.032730
47.000612,-0.065613,-0.042084,0.036399
47.000635,-0.066345,-0.039398,0.039878
47.000658,-0.065887,-0.036804,0.040373
47.000680,-0.059235,-0.031982,0.039592
47.000703,-0.046997,-0.022888,0.040520
47.000726,-0.029205,-0.010651,0.041588
47.000748,-0.007782,0.000458,0.042177
47.000771,0.013824,0.009216,0.041760
47.000794,0.031647,0.019440,0.040012
47.000816,0.045502,0.031921,0.037123
47.000839,0.057037,0.043121,0.033069
47.000862,0.067688,0.050598,0.028038
47.000884,0.076294,0.053986,0.025020
47.000907,0.083527,0.056335,0.024241
47.000930,0.089111,0.062439,0.024094
47.000952,0.092926,0.072998,0.023668
47.000975,0.093170,0.085602,0.023894
47.000998,0.090820,0.097595,0.024046
47.001020,0.088013,0.106659,0.023923
47.001043,0.086121,0.112122,0.023249
47.001066,0.084900,0.116089,0.022243
47.001088,0.083588,0.117767,0.022250
47.001111,0.080139,0.116974,0.022995
47.001134,0.075592,0.112732,0.021720
47.001156,0.071289,0.104492,0.019803
47.001179,0.067902,0.093842,0.019285
47.001202,0.064423,0.083618,0.019682
47.001224,0.060669,0.074158,0.019608
47.001247,0.055145,0.063751,0.019658
47.001270,0.047516,0.050842,0.019880
47.001293,0.038422,0.037048,0.019980
47.001315,0.026550,0.024445,0.019334
47.001338,0.012726,0.010803,0.017050
47.001361,-0.000580,-0.005615,0.015248
47.001383,-0.013000,-0.023682,0.015696
47.001406,-0.025146,-0.038422,0.016286
47.001429,-0.035126,-0.048279,0.014754
47.001451,-0.043121,-0.057129,0.012539
47.001474,-0.051300,-0.070923,0.010827
47.001497,-0.060852,-0.086243,0.008596
47.001519,-0.068451,-0.097839,0.004153
47.001542,-0.071960,-0.105896,-0.001004
47.001565,-0.074249,-0.113373,-0.004609
47.001587,-0.078461,-0.122375,-0.006815
47.001610,-0.082245,-0.131165,-0.009060
47.001633,-0.083618,-0.135651,-0.011393
47.001655,-0.084961,-0.135010,-0.012383
47.001678,-0.086334,-0.133179,-0.011820
47.001701,-0.086029,-0.130585,-0.011366
47.001723,-0.082336,-0.129517,-0.012855
47.001746,-0.074219,-0.130524,-0.015826
47.001769,-0.062317,-0.130737,-0.020124
47.001791,-0.047485,-0.127014,-0.025958
47.001814,-0.031281,-0.119965,-0.031588
47.001837,-0.015900,-0.110870,-0.036064
47.001859,-0.002716,-0.101715,-0.039096
47.001882,0.009613,-0.092957,-0.041012
47.001905,0.021820,-0.081940,-0.043089
47.001927,0.031189,-0.069733,-0.044195
47.001950,0.037811,-0.058899,-0.043075
47.001973,0.041107,-0.048523,-0.040011
47.001995,0.041504,-0.037872,-0.036723
47.002018,0.040344,-0.026428,-0.033097
47.002041,0.039795,-0.012604,-0.028742
47.002063,0.040375,0.004181,-0.023727
47.002086,0.041443,0.023560,-0.019835
47.002109,0.042145,0.044952,-0.018285
47.002132,0.040680,0.067383,-0.016118
47.002154,0.037018,0.090088,-0.011950
47.002177,0.033722,0.112061,-0.007844
47.002200,0.032013,0.130646,-0.004293
47.002222,0.031891,0.143188,-0.001456
47.002245,0.031555,0.152405,0.000633
47.002268,0.029388,0.160919,0.002458
47.002290,0.025574,0.168579,0.004716
47.002313,0.021790,0.173309,0.008760
47.002336,0.016785,0.174072,0.015514
47.002358,0.010590,0.171631,0.021173
47.002381,0.005768,0.167023,0.023674
47.002404,0.001953,0.160461,0.026283
47.002426,-0.003387,0.151764,0.030220
47.002449,-0.009766,0.141663,0.033598
47.002472,-0.015411,0.132050,0.035697
47.002494,-0.019653,0.122772,0.036677
47.002517,-0.021301,0.113129,0.036955
47.002540,-0.022369,0.103485,0.037220
47.002562,-0.025696,0.093964,0.035576
