time,source,band_0,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31
45.0,ref,-80.00,-80.00,-80.00,-80.00,-60.79,-56.96,-61.24,-66.11,-69.80,-63.04,-60.89,-62.98,-61.17,-63.89,-50.27,-62.89,-61.79,-59.24,-68.70,-69.56,-76.43,-78.50,-78.19,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.0,room,-80.00,-80.00,-78.66,-69.85,-54.90,-51.61,-51.86,-51.83,-58.88,-62.62,-60.49,-56.93,-57.17,-60.17,-51.86,-60.37,-57.87,-54.29,-66.11,-68.13,-75.24,-77.53,-76.43,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.0,processed,-80.00,-80.00,-80.00,-78.51,-57.89,-56.08,-52.68,-53.64,-62.07,-66.25,-62.40,-55.98,-63.25,-60.53,-64.77,-64.89,-61.61,-61.29,-65.65,-69.53,-79.05,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.1,ref,-80.00,-80.00,-80.00,-80.00,-58.32,-67.66,-71.99,-59.85,-77.42,-68.83,-69.75,-63.95,-67.69,-61.39,-45.79,-63.78,-58.85,-57.98,-71.04,-71.29,-73.39,-75.98,-78.21,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.1,room,-80.00,-80.00,-80.00,-70.06,-53.07,-54.36,-62.32,-55.22,-61.33,-61.74,-62.42,-56.53,-59.35,-63.11,-51.72,-60.74,-58.17,-53.84,-63.34,-68.74,-74.40,-76.95,-76.53,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.1,processed,-80.00,-80.00,-80.00,-79.66,-55.12,-57.74,-61.46,-56.29,-66.25,-62.71,-63.63,-54.89,-67.18,-60.35,-59.61,-65.65,-63.85,-58.60,-65.49,-71.36,-79.60,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.2,ref,-80.00,-80.00,-77.32,-62.74,-68.90,-71.32,-70.91,-63.42,-68.95,-74.77,-68.79,-62.50,-65.69,-63.92,-55.03,-65.11,-59.10,-55.30,-71.07,-69.82,-74.75,-76.89,-78.83,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.2,room,-80.00,-80.00,-76.99,-62.73,-60.55,-61.51,-53.46,-51.45,-61.56,-67.07,-63.38,-60.63,-65.70,-63.93,-52.80,-62.72,-62.20,-54.85,-68.06,-72.87,-76.11,-79.22,-77.54,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.2,processed,-80.00,-80.00,-80.00,-66.48,-67.85,-67.69,-56.36,-55.53,-66.79,-65.99,-64.06,-54.57,-66.39,-63.64,-58.81,-66.28,-62.49,-58.38,-65.67,-70.47,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
45.3,ref,-80.00,-80.00,-71.99,-64.10,-69.02,-72.04,-62.88,-67.02,-67.94,-72.56,-65.76,-67.70,-67.90,-62.63,-53.84,-64.95,-59.42,-56.98,-68.80,-68.93,-73.78,-76.84,-78.56,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
